Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
78	2.25	0.0471422	0.187197	0.00154191	0.00630588	0.0515526	0.00302303	0.00436371	0.00116742	0.00510314	0.00374807	2.23428e-06	0.000864255	0.000581002	1.85662e-05	0.000498214
79	2.25	0.0467372	0.187601	0.00152558	0.0062254	0.050877	0.0029904	0.00432986	0.00115504	0.00504917	0.00370778	2.24399e-06	0.000854794	0.000574499	1.83696e-05	0.00049822
80	2.25	0.0463345	0.187995	0.00150953	0.00614658	0.0502137	0.00295832	0.00429611	0.00114287	0.0049961	0.00366818	2.25359e-06	0.000845492	0.000568105	1.81763e-05	0.000498195
81	2.25	0.045934	0.188378	0.00149374	0.00606936	0.0495625	0.00292677	0.00426249	0.0011309	0.0049439	0.00362923	2.26309e-06	0.000836346	0.000561819	1.79862e-05	0.00049814
82	2.25	0.0455359	0.18875	0.00147821	0.00599371	0.0489231	0.00289575	0.00422899	0.00111913	0.00489258	0.00359094	2.27249e-06	0.000827353	0.000555638	1.77992e-05	0.000498056
83	2.25	0.0451401	0.189113	0.00146294	0.00591957	0.0482952	0.00286525	0.00419562	0.00110756	0.0048421	0.00355328	2.28179e-06	0.000818511	0.000549562	1.76153e-05	0.000497942
84	2.25	0.0447469	0.189465	0.00144793	0.00584691	0.0476788	0.00283525	0.0041624	0.00109618	0.00479246	0.00351625	2.29099e-06	0.000809816	0.000543587	1.74345e-05	0.000497801
85	2.25	0.0443561	0.189808	0.00143316	0.00577569	0.0470734	0.00280576	0.00412931	0.00108498	0.00474363	0.00347983	2.3001e-06	0.000801266	0.000537712	1.72567e-05	0.000497632
86	2.25	0.0439678	0.190141	0.00141863	0.00570588	0.0464789	0.00277675	0.00409638	0.00107397	0.0046956	0.00344401	2.30911e-06	0.000792858	0.000531936	1.70817e-05	0.000497437
87	2.25	0.0435821	0.190464	0.00140434	0.00563742	0.0458951	0.00274822	0.00406361	0.00106314	0.00464836	0.00340879	2.31803e-06	0.000784589	0.000526256	1.69097e-05	0.000497215
88	2.25	0.0431991	0.190778	0.00139029	0.0055703	0.0453217	0.00272016	0.00403099	0.00105248	0.00460189	0.00337414	2.32685e-06	0.000776458	0.000520671	1.67404e-05	0.000496968
89	2.25	0.0428187	0.191083	0.00137646	0.00550447	0.0447585	0.00269256	0.00399854	0.001042	0.00455618	0.00334006	2.33559e-06	0.00076846	0.000515179	1.65739e-05	0.000496695
90	2.25	0.0424411	0.191379	0.00136286	0.00543991	0.0442053	0.00266541	0.00396626	0.00103169	0.0045112	0.00330654	2.34424e-06	0.000760594	0.000509778	1.64101e-05	0.000496399
91	2.25	0.0420661	0.191666	0.00134947	0.00537657	0.0436619	0.00263871	0.00393416	0.00102155	0.00446696	0.00327356	2.3528e-06	0.000752857	0.000504466	1.6249e-05	0.000496078
92	2.25	0.041694	0.191944	0.00133631	0.00531444	0.0431282	0.00261244	0.00390223	0.00101157	0.00442343	0.00324112	2.36128e-06	0.000745247	0.000499243	1.60904e-05	0.000495734
93	2.25	0.0413246	0.192214	0.00132335	0.00525348	0.0426039	0.0025866	0.00387049	0.00100175	0.0043806	0.0032092	2.36967e-06	0.000737762	0.000494105	1.59344e-05	0.000495367
94	2.25	0.0409581	0.192475	0.00131061	0.00519366	0.0420887	0.00256117	0.00383894	0.000992086	0.00433845	0.00317781	2.37798e-06	0.000730398	0.000489052	1.57809e-05	0.000494978
95	2.25	0.0405944	0.192728	0.00129806	0.00513495	0.0415827	0.00253616	0.00380757	0.000982579	0.00429698	0.00314691	2.38621e-06	0.000723154	0.000484082	1.56299e-05	0.000494567
96	2.25	0.0402335	0.192973	0.00128572	0.00507733	0.0410854	0.00251155	0.0037764	0.000973223	0.00425618	0.00311652	2.39435e-06	0.000716028	0.000479193	1.54813e-05	0.000494135
97	2.25	0.0398756	0.19321	0.00127357	0.00502077	0.0405968	0.00248733	0.00374542	0.000964017	0.00421601	0.0030866	2.40242e-06	0.000709016	0.000474383	1.5335e-05	0.000493683
98	2.25	0.0395205	0.19344	0.00126162	0.00496524	0.0401167	0.0024635	0.00371465	0.000954956	0.00417649	0.00305717	2.41041e-06	0.000702117	0.000469652	1.51911e-05	0.00049321
99	2.25	0.0391684	0.193661	0.00124985	0.00491072	0.039645	0.00244005	0.00368407	0.000946039	0.00413759	0.00302821	2.41833e-06	0.000695329	0.000464998	1.50494e-05	0.000492718
100	2.25	0.0388191	0.193875	0.00123828	0.0048572	0.0391814	0.00241698	0.0036537	0.000937263	0.00409931	0.0029997	2.42617e-06	0.000688651	0.000460419	1.491e-05	0.000492206
101	2.25	0.0384729	0.194081	0.00122688	0.00480464	0.0387258	0.00239427	0.00362354	0.000928626	0.00406163	0.00297165	2.43394e-06	0.000682079	0.000455915	1.47727e-05	0.000491675
102	2.25	0.0381296	0.194281	0.00121566	0.00475303	0.0382781	0.00237192	0.00359359	0.000920124	0.00402454	0.00294405	2.44163e-06	0.000675612	0.000451483	1.46377e-05	0.000491126
103	2.25	0.0377892	0.194473	0.00120462	0.00470233	0.0378381	0.00234993	0.00356384	0.000911755	0.00398803	0.00291688	2.44925e-06	0.000669248	0.000447122	1.45047e-05	0.000490559
104	2.25	0.0374518	0.194658	0.00119375	0.00465254	0.0374056	0.00232828	0.00353431	0.000903517	0.00395209	0.00289013	2.4568e-06	0.000662985	0.000442831	1.43738e-05	0.000489974
