Results of Simulation 1

Time	v1	v2
9	4.8559	4.02192
9.01	4.85105	4.01791
9.02	4.8462	4.01389
9.03	4.84136	4.00988
9.04	4.83652	4.00587
9.05	4.83169	4.00187
9.06	4.82686	3.99787
9.07	4.82203	3.99387
9.08	4.81721	3.98988
9.09	4.8124	3.98589
9.1	4.80759	3.98191
9.11	4.80278	3.97793
9.12	4.79798	3.97395
9.13	4.79319	3.96998
9.14	4.7884	3.96601
9.15	4.78361	3.96205
9.16	4.77883	3.95809
9.17	4.77405	3.95413
9.18	4.76928	3.95018
9.19	4.76451	3.94623
9.2	4.75975	3.94229
9.21	4.75499	3.93835
9.22	4.75024	3.93441
9.23	4.74549	3.93048
9.24	4.74075	3.92655
9.25	4.73601	3.92263
9.26	4.73128	3.91871
9.27	4.72655	3.91479
9.28	4.72182	3.91088
9.29	4.71711	3.90697
9.3	4.71239	3.90306
9.31	4.70768	3.89916
9.32	4.70298	3.89526
9.33	4.69827	3.89137
9.34	4.69358	3.88748
9.35	4.68889	3.8836
9.36	4.6842	3.87971
9.37	4.67952	3.87584
9.38	4.67484	3.87196
9.39	4.67017	3.86809
9.4	4.6655	3.86423
9.41	4.66084	3.86036
9.42	4.65618	3.85651
9.43	4.65153	3.85265
9.44	4.64688	3.8488
9.45	4.64223	3.84495
9.46	4.63759	3.84111
9.47	4.63296	3.83727
9.48	4.62833	3.83344
9.49	4.6237	3.8296
9.5	4.61908	3.82578
9.51	4.61446	3.82195
9.52	4.60985	3.81813
9.53	4.60524	3.81432
9.54	4.60064	3.8105
9.55	4.59604	3.8067
9.56	4.59145	3.80289
9.57	4.58686	3.79909
9.58	4.58227	3.79529
9.59	4.57769	3.7915
9.6	4.57312	3.78771
9.61	4.56855	3.78392
9.62	4.56398	3.78014
9.63	4.55942	3.77636
9.64	4.55486	3.77259
9.65	4.55031	3.76882
9.66	4.54576	3.76505
9.67	4.54122	3.76129
9.68	4.53668	3.75753
9.69	4.53215	3.75377
9.7	4.52762	3.75002
9.71	4.52309	3.74627
9.72	4.51857	3.74253
9.73	4.51405	3.73879
9.74	4.50954	3.73505
9.75	4.50503	3.73132
9.76	4.50053	3.72759
9.77	4.49603	3.72386
9.78	4.49154	3.72014
9.79	4.48705	3.71642
9.8	4.48256	3.71271
9.81	4.47808	3.709
9.82	4.47361	3.70529
9.83	4.46914	3.70159
9.84	4.46467	3.69789
9.85	4.46021	3.69419
9.86	4.45575	3.6905
9.87	4.4513	3.68681
9.88	4.44685	3.68312
9.89	4.4424	3.67944
9.9	4.43796	3.67577
9.91	4.43353	3.67209
9.92	4.4291	3.66842
9.93	4.42467	3.66475
9.94	4.42025	3.66109
